season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
1998,DEN,WR,,15,Active,Justin Armour,Justin,Armour,1973-01-01T00:00:00,76,209,,00-0000422,,,,,,,,,,,,1,REG,A01,Justin,ARM039085,,,1995,1995,BUF,113.0
1998,DEN,DB,,27,Active,Steve Atwater,Stephen,Atwater,1966-10-28T00:00:00,75,220,,00-0000500,,,,,,,,,,,,1,REG,A01,Steve,ATW276861,,,1989,1989,DEN,20.0
1998,DEN,G,,79,Active,Chris Banks,Warren,Banks,1973-04-04T00:00:00,73,300,,00-0000700,,,,,,,,,,,,1,REG,A01,Chris,BAN646496,,,1996,1996,DEN,226.0
1998,DEN,CB,,34,Active,Tyrone Braxton,Tyrone,Braxton,1964-12-17T00:00:00,71,190,,00-0001713,,,,,,,,,,,,1,REG,A01,Tyrone,BRA757886,,,1987,1987,DEN,334.0
1998,DEN,QB,,6,Active,Bubby Brister,Walter,Brister,1962-08-15T00:00:00,75,205,,00-0001785,,,,,,,,,,,,1,REG,A01,Bubby,BRI521505,,,1986,1986,PIT,67.0
1998,DEN,DT,,73,Inactive,Cyron Brown,Cyron,Brown,1975-06-28T00:00:00,77,275,,00-0001902,,,,,,,,,,,,1,REG,I01,Cyron,BRO363630,,,1998,1998,,
1998,DEN,FS,,26,Active,Eric Brown,Eric,Brown,1975-03-20T00:00:00,72,210,,00-0001931,,,,,,,,,,,,1,REG,A01,Eric,BRO429318,,,1998,1998,DEN,61.0
1998,DEN,LB,,59,Active,Keith Burns,Keith,Burns,1972-05-16T00:00:00,74,235,,00-0002312,,,,,,,,,,,,1,REG,A01,Keith,BUR522598,,,1994,1994,DEN,210.0
1998,DEN,OLB,,59,Active,Glenn Cadrez,Glenn,Cadrez,1970-01-02T00:00:00,74,241,,00-0002493,,,,,,,,,,,,1,REG,A01,Glenn,CAD642710,,,1992,1992,NYJ,154.0
1998,DEN,TE,,89,Active,Dwayne Carswell,Dwayne,Carswell,1972-01-18T00:00:00,75,260,,00-0002709,,,,,,,,,,,,1,REG,A01,Dwayne,CAR604724,,,1994,1994,,
1998,DEN,WR,,86,Active,Byron Chamberlain,Byron,Chamberlain,1971-10-17T00:00:00,73,242,,00-0002861,,,,,,,,,,,,1,REG,A01,Byron,CHA053274,,,1995,1995,DEN,222.0
1998,DEN,SS,,48,Inactive,George Coghill,George,Coghill,1970-03-30T00:00:00,72,210,,00-0003187,,,,,,,,,,,,1,REG,I01,George,COG487515,,,1993,1993,,
