season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2024,NO,SS,,24,Active,Johnathan Abram,Johnathan,Abram,1996-10-25T00:00:00,72,205,,00-0035693,,,,,,,,,,,,4,PRE,A01,Johnathan,ABR159741,,,2019,2019.0,OAK,27.0
2024,NO,CB,,29,Active,Paulson Adebo,Saiid,Adebo,1999-07-03T00:00:00,72,193,,00-0036937,,,,,,,,,,,,4,PRE,A01,Paulson,ADE042937,,,2021,2021.0,NO,76.0
2024,NO,FS,,0,Active,Ugochukwu Amadi,Ugochukwu,Amadi,1997-05-16T00:00:00,69,201,,00-0035142,,,,,,,,,,,,4,PRE,A01,Ugochukwu,AMA296635,,,2019,2019.0,SEA,132.0
2024,NO,G,,79,Active,Tremayne Anchrum,Tremayne,Anchrum,1998-06-24T00:00:00,74,315,,00-0036437,,,,,,,,,,,,4,PRE,A01,Tremayne,ANC237308,,,2020,2020.0,LA,250.0
2024,NO,WR,,81,Active,Kevin Austin,Kevin,Austin,2000-03-30T00:00:00,74,215,,00-0037231,,,,,,,,,,,,4,PRE,A01,Kevin,AUS749254,,,2022,2022.0,,
2024,NO,DT,,97,Active,Khristian Boyd,Khristian,Boyd,2000-02-23T00:00:00,76,305,,00-0039401,,,,,,,,,,,,4,PRE,A01,Khristian,BOY229168,,,2024,2024.0,NO,199.0
2024,NO,DB,,38,Active,Millard Bradford,Nook,Bradford,1999-09-24T00:00:00,71,190,,00-0039610,,,,,,,,,,,,4,PRE,A01,Millard,BRA100088,,,2024,2024.0,,
2024,NO,DT,,90,Active,Bryan Bresee,Bryan,Bresee,2001-10-06T00:00:00,77,300,,00-0038995,,,,,,,,,,,,4,PRE,A01,Bryan,BRE510679,,,2023,2023.0,NO,29.0
2024,NO,QB,,4,Active,Derek Carr,Derek,Carr,1991-03-28T00:00:00,75,210,,00-0031280,,,,,,,,,,,,4,PRE,A01,Derek,CAR358797,,,2014,2014.0,OAK,36.0
2024,NO,MLB,,56,Active,Demario Davis,Demario,Davis,1989-01-11T00:00:00,74,248,,00-0029607,,,,,,,,,,,,4,PRE,A01,Demario,DAV262404,,,2012,2012.0,NYJ,77.0
2024,NO,T,,65,Active,Jesse Davis,Jesse,Davis,1991-09-15T00:00:00,78,325,,00-0031893,,,,,,,,,,,,4,PRE,A01,Jesse,DAV456757,,,2015,2015.0,,
2024,NO,WR,,80,Active,Shaquan Davis,Shaquan,Davis,2000-02-08T00:00:00,77,180,,00-0038902,,,,,,,,,,,,4,PRE,A01,Shaquan,DAV746610,,,2023,2023.0,,
2024,NO,OLB,,50,Active,Andrew Dowell,Andrew,Dowell,1996-11-16T00:00:00,73,225,,00-0035412,,,,,,,,,,,,4,PRE,A01,Andrew,DOW352822,,,2019,2019.0,,
