season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
1982,DEN,G,,54,Active,Keith Bishop,Keith,Bishop,1957-03-10T00:00:00,75,265,,00-0001270,,,,,,,,,,,,1,REG,A01,Keith,,,,1980,1980,DEN,157.0
1982,DEN,DE,,76,Active,Greg Boyd,Greg,Boyd,1952-09-15T00:00:00,78,280,,00-0001592,,,,,,,,,,,,1,REG,A01,Greg,,,,1976,1976,NE,170.0
1982,DEN,C,,64,Active,Bill Bryan,William,Bryan,1955-09-21T00:00:00,74,255,,00-0002127,,,,,,,,,,,,1,REG,A01,Bill,,,,1977,1977,DEN,101.0
1982,DEN,LB,,52,Active,Steve Busick,Steve,Busick,1958-12-10T00:00:00,76,227,,00-0002384,,,,,,,,,,,,1,REG,A01,Steve,,,,1981,1981,DEN,181.0
1982,DEN,NT,,68,Active,Rubin Carter,Rubin,Carter,1952-12-12T00:00:00,72,254,,00-0002760,,,,,,,,,,,,1,REG,A01,Rubin,,,,1975,1975,DEN,121.0
1982,DEN,DE,,79,Active,Barney Chavous,Barney,Chavous,1951-03-22T00:00:00,75,258,,00-0002918,,,,,,,,,,,,1,REG,A01,Barney,,,,1973,1973,DEN,36.0
1982,DEN,T ,,0,Inactive,Brian Clark,Brian,Clark,1960-09-22T00:00:00,78,262,,00-0003020,,,,,,,,,,,,1,REG,I01,Brian,,,,1982,1982,DEN,327.0
1982,DEN,QB,,17,Active,Steve DeBerg,Steve,DeBerg,1954-01-19T00:00:00,74,225,,00-0004116,,,,,,,,,,,,1,REG,A01,Steve,DEB207645,,,1977,1977,DAL,275.0
1982,DEN,ILB,,55,Active,Rick Dennison,Rick,Dennison,1958-06-22T00:00:00,75,220,,00-0004199,,,,,,,,,,,,1,REG,A01,Rick,,,,1980,1980,,
1982,DEN,TE,,84,Active,Ron Egloff,Ron,Egloff,1955-10-02T00:00:00,77,227,,00-0004787,,,,,,,,,,,,1,REG,A01,Ron,,,,1977,1977,,
