season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
1986,DEN,WR,,35,Active,Ken Bell,Kenneth,Bell,1964-11-16T00:00:00,70,190,,00-0001032,,,,,,,,,,,,1,REG,A01,Ken,,,,1986,1986,,
1986,DEN,G,,54,Active,Keith Bishop,Keith,Bishop,1957-03-10T00:00:00,75,265,,00-0001270,,,,,,,,,,,,1,REG,A01,Keith,,,,1980,1980,DEN,157.0
1986,DEN,C,,64,Active,Bill Bryan,William,Bryan,1955-09-21T00:00:00,74,255,,00-0002127,,,,,,,,,,,,1,REG,A01,Bill,,,,1977,1977,DEN,101.0
1986,DEN,NT,,68,Active,Rubin Carter,Rubin,Carter,1952-12-12T00:00:00,72,254,,00-0002760,,,,,,,,,,,,1,REG,A01,Rubin,,,,1975,1975,DEN,121.0
1986,DEN,NT,,69,Active,Tony Colorito,Anthony,Colorito,1964-09-08T00:00:00,77,265,,00-0003325,,,,,,,,,,,,1,REG,A01,Tony,,,,1986,1986,DEN,134.0
1986,DEN,MLB,,53,Active,Darren Comeaux,Darren,Comeaux,1960-04-15T00:00:00,73,239,,00-0003343,,,,,,,,,,,,1,REG,A01,Darren,COM237308,,,1982,1982,,
1986,DEN,ILB,,55,Active,Rick Dennison,Rick,Dennison,1958-06-22T00:00:00,75,220,,00-0004199,,,,,,,,,,,,1,REG,A01,Rick,,,,1980,1980,,
1986,DEN,QB,,7,Active,John Elway,John,Elway,1960-06-28T00:00:00,75,215,,00-0004884,,,,,,,,,,,,1,REG,A01,John,ELW276861,,,1983,1983,BAL,1.0
1986,DEN,OLB,,73,Active,Simon Fletcher,Simon,Fletcher,1962-02-18T00:00:00,78,240,,00-0005323,,,,,,,,,,,,1,REG,A01,Simon,FLE711924,,,1985,1985,DEN,54.0
1986,DEN,DB,,43,Active,Steve Foley,Steve,Foley,1953-11-11T00:00:00,75,190,,00-0005383,,,,,,,,,,,,1,REG,A01,Steve,,,,1975,1975,DEN,199.0
1986,DEN,TE,,89,Active,Joey Hackett,Joseph,Hackett,1958-09-29T00:00:00,77,267,,00-0006583,,,,,,,,,,,,1,REG,A01,Joey,,,,1981,1981,,
1986,DEN,CB,,31,Active,Mike Harden,Michael,Harden,1959-02-16T00:00:00,73,192,,00-0006821,,,,,,,,,,,,1,REG,A01,Mike,,,,1980,1980,DEN,131.0
1986,DEN,G,,60,Active,Paul Howard,Paul,Howard,1950-09-12T00:00:00,75,260,,00-0007808,,,,,,,,,,,,1,REG,A01,Paul,,,,1973,1973,DEN,54.0
1986,DEN,LB,,51,Active,Ricky Hunley,Ricky,Hunley,1961-11-11T00:00:00,74,250,,00-0007926,,,,,,,,,,,,1,REG,A01,Ricky,,,,1984,1984,CIN,7.0
1986,DEN,DB,,27,Active,Daniel Hunter,Daniel,Hunter,1962-09-01T00:00:00,71,178,,00-0007942,,,,,,,,,,,,1,REG,A01,Daniel,,,,1984,1984,,
1986,DEN,LB,,57,Active,Tom Jackson,Tom,Jackson,1951-04-04T00:00:00,71,224,,00-0008198,,,,,,,,,,,,1,REG,A01,Tom,,,,1973,1973,DEN,88.0
1986,DEN,WR,,89,Active,Mark Jackson,Mark,Jackson,1963-07-23T00:00:00,69,180,,00-0008163,,,,,,,,,,,,1,REG,A01,Mark,JAC388204,,,1986,1986,DEN,161.0
1986,DEN,WR,,82,Active,Vance Johnson,Vance,Johnson,1963-03-13T00:00:00,71,185,,00-0008648,,,,,,,,,,,,1,REG,A01,Vance,JOH718836,,,1985,1985,DEN,31.0
1986,DEN,DE,,75,Active,Rulon Jones,Rulon,Jones,1958-03-25T00:00:00,78,260,,00-0008863,,,,,,,,,,,,1,REG,A01,Rulon,,,,1980,1980,DEN,42.0
1986,DEN,K,,3,Active,Rich Karlis,Richard,Karlis,1959-05-23T00:00:00,72,180,,00-0009022,,,,,,,,,,,,1,REG,A01,Rich,,,,1981,1981,,
1986,DEN,TE,,88,Active,Clarence Kay,Clarence,Kay,1961-07-30T00:00:00,74,237,,00-0009045,,,,,,,,,,,,1,REG,A01,Clarence,KAY207645,,,1984,1984,DEN,186.0
1986,DEN,NT,,71,Active,Greg Kragen,Greg,Kragen,1962-03-04T00:00:00,75,267,,00-0009447,,,,,,,,,,,,1,REG,A01,Greg,KRA151014,,,1984,1984,,
1986,DEN,QB,,8,Active,Gary Kubiak,Gary,Kubiak,1961-08-15T00:00:00,72,192,,00-0009490,,,,,,,,,,,,1,REG,A01,Gary,KUB415290,,,1983,1983,DEN,197.0
1986,DEN,RB,,33,Active,Gene Lang,Gene,Lang,1962-03-15T00:00:00,70,206,,00-0009611,,,,,,,,,,,,1,REG,A01,Gene,,,,1984,1984,DEN,298.0
1986,DEN,T,,79,Active,Ken Lanier,Kenneth,Lanier,1959-07-08T00:00:00,75,290,,00-0009625,,,,,,,,,,,,1,REG,A01,Ken,LAN618485,,,1981,1981,DEN,125.0
1986,DEN,DB,,22,Active,Tony Lilly,Robert,Lilly,1962-02-16T00:00:00,72,199,,00-0009930,,,,,,,,,,,,1,REG,A01,Tony,,,,1984,1984,DEN,78.0
1986,DEN,ILB,,77,Active,Karl Mecklenburg,Karl,Mecklenburg,1960-09-01T00:00:00,75,235,,00-0011082,,,,,,,,,,,,1,REG,A01,Karl,MEC553722,,,1983,1983,DEN,310.0
1986,DEN,TE,,89,Active,Orson Mobley,Orson,Mobley,1963-03-04T00:00:00,77,256,,00-0011450,,,,,,,,,,,,1,REG,A01,Orson,,,,1986,1986,DEN,151.0
1986,DEN,C,,58,Active,Phil Olsen,Phil,Olsen,1948-04-26T00:00:00,76,260,,00-0012379,,,,,,,,,,,,1,REG,A01,Phil,,,,1970,1970,DEN,4.0
1986,DEN,T,,78,Active,Dan Remsberg,Daniel,Remsberg,1962-04-07T00:00:00,78,275,,00-0013587,,,,,,,,,,,,1,REG,A01,Dan,,,,1985,1985,SD,252.0
1986,DEN,S,,48,Active,Randy Robbins,Randy,Robbins,1962-09-14T00:00:00,74,189,,00-0013801,,,,,,,,,,,,1,REG,A01,Randy,ROB063196,,,1984,1984,DEN,89.0
1986,DEN,LB,,50,Active,Jim Ryan,Jim,Ryan,1957-05-18T00:00:00,73,225,,00-0014223,,,,,,,,,,,,1,REG,A01,Jim,RYA211716,,,1979,1979,,
1986,DEN,WR,,84,Active,Clinton Sampson,Clinton,Sampson,1961-01-04T00:00:00,71,185,,00-0014288,,,,,,,,,,,,1,REG,A01,Clinton,,,,1983,1983,DEN,60.0
1986,DEN,RB,,30,Active,Steve Sewell,Steven,Sewell,1963-04-02T00:00:00,75,210,,00-0014688,,,,,,,,,,,,1,REG,A01,Steve,SEW553722,,,1985,1985,DEN,26.0
1986,DEN,S,,49,Active,Dennis Smith,Dennis,Smith,1959-02-03T00:00:00,75,200,,00-0015146,,,,,,,,,,,,1,REG,A01,Dennis,SMI194880,,,1981,1981,DEN,15.0
1986,DEN,QB,,14,Active,Scott Stankavage,L.,Stankavage,1962-07-05T00:00:00,73,194,,00-0015549,,,,,,,,,,,,1,REG,A01,Scott,STA435712,,,1984,1984,,
1986,DEN,T,,0,Active,Dave Studdard,Davis,Studdard,1955-11-22T00:00:00,76,260,,00-0015852,,,,,,,,,,,,1,REG,A01,Dave,,,,1978,1978,BAL,245.0
1986,DEN,NT,,61,Active,Andre Townsend,Andre,Townsend,1962-10-08T00:00:00,75,265,,00-0016575,,,,,,,,,,,,1,REG,A01,Andre,,,,1984,1984,DEN,46.0
1986,DEN,WR,,81,Active,Steve Watson,Steve,Watson,1957-05-28T00:00:00,76,195,,00-0017315,,,,,,,,,,,,1,REG,A01,Steve,WAT546425,,,1979,1979,,
1986,DEN,P,,13,Active,Jack Weil,Jack,Weil,1962-03-16T00:00:00,71,175,,00-0017395,,,,,,,,,,,,1,REG,A01,Jack,,,,1984,1984,,
1986,DEN,RB,,47,Active,Gerald Willhite,Gerald,Willhite,1959-05-30T00:00:00,70,200,,00-0017707,,,,,,,,,,,,1,REG,A01,Gerald,,,,1982,1982,DEN,21.0
1986,DEN,DB,,45,Active,Steve Wilson,Steve,Wilson,1957-08-25T00:00:00,70,192,,00-0018065,,,,,,,,,,,,1,REG,A01,Steve,WIL788364,,,1979,1979,,
1986,DEN,RB,,23,Active,Sammy Winder,Sammy,Winder,1959-07-15T00:00:00,71,203,,00-0018087,,,,,,,,,,,,1,REG,A01,Sammy,,,,1982,1982,DEN,131.0
1986,DEN,OLB,,59,Active,Kenneth Woodard,Kenneth,Woodard,1960-01-22T00:00:00,73,220,,00-0018188,,,,,,,,,,,,1,REG,A01,Kenneth,,,,1982,1982,DEN,274.0
1986,DEN,DB,,20,Active,Louis Wright,Louie,Wright,1953-01-31T00:00:00,75,195,,00-0018311,,,,,,,,,,,,1,REG,A01,Louis,,,,1975,1975,DEN,17.0
1986,DEN,WR,,35,Active,Ken Bell,Kenneth,Bell,1964-11-16T00:00:00,70,190,,00-0001032,,,,,,,,,,,,2,REG,A01,Ken,,,,1986,1986,,
1986,DEN,G,,54,Active,Keith Bishop,Keith,Bishop,1957-03-10T00:00:00,75,265,,00-0001270,,,,,,,,,,,,2,REG,A01,Keith,,,,1980,1980,DEN,157.0
1986,DEN,RB,,0,Active,Tony Boddie,Tony,Boddie,1960-11-11T00:00:00,71,197,,00-0001403,,,,,,,,,,,,2,REG,A01,Tony,BOD207645,,,1985,1985,,
1986,DEN,C,,64,Active,Bill Bryan,William,Bryan,1955-09-21T00:00:00,74,255,,00-0002127,,,,,,,,,,,,2,REG,A01,Bill,,,,1977,1977,DEN,101.0
