season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
1983,DEN,G,,74,Active,Jerry Baker,Jerry,Baker,1960-03-06T00:00:00,74,297,,00-0000631,,,,,,,,,,,,1,REG,A01,Jerry,,,,1983,1983,,
1983,DEN,G,,54,Active,Keith Bishop,Keith,Bishop,1957-03-10T00:00:00,75,265,,00-0001270,,,,,,,,,,,,1,REG,A01,Keith,,,,1980,1980,DEN,157.0
1983,DEN,DE,,65,Active,Walt Bowyer,Walter,Bowyer,1960-09-08T00:00:00,76,260,,00-0001585,,,,,,,,,,,,1,REG,A01,Walt,,,,1983,1983,DEN,254.0
1983,DEN,C,,64,Active,Bill Bryan,William,Bryan,1955-09-21T00:00:00,74,255,,00-0002127,,,,,,,,,,,,1,REG,A01,Bill,,,,1977,1977,DEN,101.0
1983,DEN,LB,,52,Active,Steve Busick,Steve,Busick,1958-12-10T00:00:00,76,227,,00-0002384,,,,,,,,,,,,1,REG,A01,Steve,,,,1981,1981,DEN,181.0
1983,DEN,NT,,68,Active,Rubin Carter,Rubin,Carter,1952-12-12T00:00:00,72,254,,00-0002760,,,,,,,,,,,,1,REG,A01,Rubin,,,,1975,1975,DEN,121.0
1983,DEN,DE,,79,Active,Barney Chavous,Barney,Chavous,1951-03-22T00:00:00,75,258,,00-0002918,,,,,,,,,,,,1,REG,A01,Barney,,,,1973,1973,DEN,36.0
1983,DEN,T,,71,Active,Mark Cooper,Mark,Cooper,1960-02-14T00:00:00,77,280,,00-0003458,,,,,,,,,,,,1,REG,A01,Mark,,,,1983,1983,DEN,31.0
1983,DEN,QB,,17,Active,Steve DeBerg,Steve,DeBerg,1954-01-19T00:00:00,74,225,,00-0004116,,,,,,,,,,,,1,REG,A01,Steve,DEB207645,,,1977,1977,DAL,275.0
1983,DEN,ILB,,55,Active,Rick Dennison,Rick,Dennison,1958-06-22T00:00:00,75,220,,00-0004199,,,,,,,,,,,,1,REG,A01,Rick,,,,1980,1980,,
1983,DEN,DB,,21,Active,Myron Dupree,Myron,Dupree,1961-10-15T00:00:00,71,185,,00-0004648,,,,,,,,,,,,1,REG,A01,Myron,,,,1983,1983,DEN,172.0
1983,DEN,TE,,84,Active,Ron Egloff,Ron,Egloff,1955-10-02T00:00:00,77,227,,00-0004787,,,,,,,,,,,,1,REG,A01,Ron,EGL415291,,,1977,1977,,
